file_name,sequence,label
UAD-Hydra-SSH-7-2462.txt,265 3 265 168 168 3 168 168 168 3 168 265 3 3 265 168 265 168 265 168 265 3 265 168 168 168 265 168 3 265 3 265 168 168 265 168 3 265 168 265 168 168 265 3 265 265 168 265 3 265 168 3 168 265 168 3 168 168 265 265 168 265 265 265 3 168 3 168 265 265 168 265 265 168 168 265 265 168 168 265 3 265 265 265 265 265 3 3 3 265 265 265 3 265 3 168 265 3 265 168 168 265 265 3 168 168 168 3 265 168 265 168 168 265 3 265 168 3 3 3 265 3 168 3 168 168 168 3 265 168 3 168 168 265 3 265 168 168 168 265 168 265 168 265 3 168 3 168 265 3 168 265 265 265 265 3 3 265 168 265 265 168 265 3 265 168 265 168 265 168 265 3 265 265 168 265 265 3 168 265 3 265 3 265 265 168 265 265 265 168 265 168 265 3 3 265 3 168 168 168 168 168 265 168 3 265 265 265 168 265 3 265 265 168 168 265 168 265 265 265 3 265 265 3 168 168 265 168 168 265 3 265 265 265 3 168 265 3 168 168 265 3 168 168 265 265 168 265 265 168 265 265 168 168 265 3 168 265 265 168 3 168 265 168 168 168 168 168 168 3 168 3 265 265 168 168 168 168 168 168 3 168 3 265 168 168 265 265 265 168 265 168 168 168 265 168 168 168 265 3 3 168 3 3 3 265 168 265 265 265 265 265 265 265 265 168 265 3 265 265 168 168 265 3 265 3 168 265 265 265 3 168 3 168 3 168 168 265 3 265 265 265 168 168 265 3 265 168 265 3 265 265 3 265 168 265 3 265 168 265 168 265 3 265 168 265 3 265 168 265 3 265 168 265 3 265 3 168 3 168 168 265 3 265 265 168 168 265 168 265 3 265 168 265 3 265 3 168 265 3 265 168 265 3 265 3 168 265 168 168 265 3 265 168 168 265 3 168 265 168 265 3 265 168 265 3 265 168 168 168 168 168 3 168 168 168 265 3 265 168 265 3 265 3 3 168 168 265 3 265 3 168 265 3 265 168 265 265 3 168 265 3 265 265 265 3 265 168 168 168 168 168 265 3 265 168 265 168 265 3 265 168 168 3 168 265 3 265 168 168 265 3 265 168 3 265 168 168 265 3 265 168 265 3 265 265 168 168 265 168 168 265 3 265 168 265 3 265 168 265 3 168 265 3 265 265 168 168 3 3 265 168 168 168 3 168 168 168 168 265 3 265 168 265 168 265 3 265 168 168 265 3 265 168 265 168 265 168 265 3 265 3 168 168 265 265 265 168 265 3 265 168 168 168 265 3 265 265 265 3 3 168 265 3 265 168 168 265 3 265 168 265 3 265 168 265 3 265 3 168 265 3 265 168 265 3 265 168 265 3 265 168 265 168 168 265 3 265 265 168 265 3 265 168 265 3 265 265 168 265 3 265 168 168 265 3 3 168 3 3 3 168 168 168 3 3 3 265 3 265 168 265 3 265 168 168 168 265 3 265 168 265 3 265 168 168 168 265 3 168 265 265 168 168 265 3 265 168 168 168 265 3 265 168 265 3 265 265 168 168 265 3 168 265 3 168 265 3 265 265 168 265 3 265 168 265 168 265 168 265 3 265 265 168 265 168 265 3 265 168 265 168 265 3 265 168 265 3 265 168 265 3 265 3 168 168 265 3 265 265 168 265 3 265 3 168 265 3 265,abnormal
UAD-Hydra-FTP-8-2783.txt,168 3 3 265 265 168 265 265 265 3 168 168 3 265 168 146 3 168 168 146 265 168 168 146 168 265 168 168 3 168 265 168 3 168 146 168 168 146 3 146 168 168 168 3 3 3 168 168 146 168 168 168 168 168 146 3 168 265 168 168 168 168 3 168 146 265 168 168 168 265 168 168 265 168 168 168 146 146 168 168 168 146 168 3 3 265 168 146 168 168 3 168 168 3 3 168 3 265 168 265 3 3 168 146 168 168 168 265 265 168 146 146 168 3 168 168 265 168 168 168 3 168 168 168 168 146 3 168 168 168 265 168 168 265 168 3 3 168 168 146 168 168 168 3 168 265 3 3 3 168 168 265 168 265 168 265 146 168 265 265 265 168 146 168 265 168 168 265 168 146 168 265 168 168 265 265 168 168 265 265 3 168 168 146 3 265 168 265 146 3 146 168 168 265 146 168 168 168 168 168 265 168 168 168 168 265 168 3 168 168 146 168 168 265 265 168 168 3 168 168 168 146 168 265 265 3 168 168 146 168 3 3 3 168 146 3 3 265 168 265 168 168 265 265 265 265 168 146 3 168 265 146 168 168 168 168 168 265 168 168 265 146 3 265 168 168 168 168 265 3 3 3 168 168 265 3 4 146,abnormal
UTD-0571.txt,11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 91 20 174 201 45 45 64 195 195 183 5 221 6 221 174 174 174 174 174 174 3 60 60 60 5 221 6 221 3 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 174 45 45 199 201 200 202 5 197 192 192 6 5 3 6 13 85 195 195 195 195 195 54 140 54 140 54 140 5 54 140 221 197 174 45 3 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 54 140 3 140 140 6 195 195 195 195 195 195 195 195 195 195 5 54 140 3 195 195 195 195 195 195 195 195 195 195 5 54 140 3 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 54 140 3 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 54 3 195 195 195 195 195 195 195 3 3 6 195 195 195 195 195 3 3 3 45 3 3 6 140 140 6 3 140 140 6 195 195 195 195 195 195 195 195 195 195 195 195 195 195 5 54 140 3 140 140 6 3 6 195 195 195 195 195 195 195 195 195 195 5 54 140 3 195 195 195 195 195 195 195 195 195 195 5 54 140 45 3 195 195 195 195 195 195 195 195 3 6 195 3 3 3 3 3 3 3 45 3 3 195 5 54 140 197 221 143 3 195 195 195 3 6 3 45 3 6 195 5 54 140 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 42 42 120 6 6 3 6 54 140 197 3 197 6 195 5 3 3 3 3 45 6 195 42 54 140 120 6 6 3 4 4 4 4 4 4 3 6 42 120 6 3 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 45 45 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 5 54 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 3 5 54 140 197 221 3 3 3 3 3 3 3 3 6 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4,normal
UTD-0310.txt,6 174 174 174 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 192 6 192 243 125 125 125 91 20 174 201 45 45 64 195 195 5 221 6 221 174 174 174 174 174 174 3 5 221 6 221 63 6 221 6 221 63 195 195 195 120 114 63 6 63 6 5 221 6 221 3 195 5 221 6 221 3 3 6 195 201 195 195 195 120 114 195 195 195 195 120 114 3 6 5 221 6 221 3 3 195 5 221 6 221 3 3 6 3 6 195 195 195 195 120 114 195 195 195 195 120 114,normal
UTD-0690.txt,11 45 5 6 125 192 5 197 3 5 197 192 3 3 6 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 45 91 6 5 221 220 220 6 5 197 3 6 5 197 3 6 5 197 3 6 5 6 6 6 6 5 6 6 6 5 3 3 6 6 6 5 6 5 6 6 6 6 6 5 6 6 6 6 6 6 6 6 45 6 6 6 45 6 6 6 6 6 45 5 6 5 6 6 3 6 6 3 6 6 6 6 6 6 3 197 6 6 3 45 45 45 45 45 45 45 45 45 45 45 45 45 45 91 6 5 197 192 3 3 6 91 195 5 3 3 6 5 197 192 3 6 91 4,normal
UTD-0587.txt,3 6 6 6 6 6 6 175 174 174 174 174 174 174 11 45 33 192 33 5 197 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 33 5 3 197 192 192 6 33 5 3 197 192 192 192 6 192 192 243 125 125 125 125 125 125 125 125 125 91 258 311 240 240 174 174 175 191 122 268 45 45 5 197 192 3 3 6 91 5 197 192 192 6 5 197 192 3 3 6 91 201 195 195 195 5 197 5 197 3 4,normal
UTD-0645.txt,11 192 192 3 5 6 6 192 192 125 125 125 192 45 45 174 45 45 78 5 197 192 192 6 78 78 45 195 195 195 195 196 196 197 3 3 3 3 3 91 5 5 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 45 3 3 3 3 3 3 3 45 3 3 3 3 3 3 6 192 192 192 192 45 78 13 5 197 197 192 3 140 3 6 91 192 45 13 195 174 197 192 13 195 174 174 195 33 33 33 33 5 5 5 221 45 141 195 141 45 6 33 33 33 33 5 33 33 33 33 5 141 195 5 141 141 6 195 5 141 195 141 6 141 6 33 33 33 33 33 33 33 33 33 33 5 33 33 33 33 33 33 33 33 33 33 33 195 33 33 195 5 5 197 192 4 197 192 3 33 33 33 33 33 33 33 195 33 195 5 4 197 192 3 45 45 6 91 33 33 33 33 195 33 195 5 4 197 192 3 6 91 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 195 33 33 195 5 4 197 192 3 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 33 3 33 33 33 197 3 4 3 4 3 4 3 4 33 195 5 141 5 33 5 3 3 5 33 3 33 33 5 33 33 33 33 33 33 33 33 33 3 33 33 33 3 33 33 3 140 45 33 5 3 33 33 33 195 33 45 33 33 33 3 33 33 33 33 33 3 33 33 33 3 33 33 33 3 33 33 33 3 33 33 33 33 33 33 33 33 33 3 91 33 33 3 45 33 33 33 3 140 33 3 6 45 33 33 3 33 33 33 6 33 33 3 91 33 33 3 33 33 33 5 33 33 33 197 91 33 33 3 45 33 33 33 33 33 195 140 33 33 33 3 33 3 33 33 33 33 33 5 140 33 33 33 33 3 33 33 4 3 3 4 3 45 45 3 3 4 3 4 33 33 33 33 3 3 3 3 33 33 195 33 33 33 33 3 33 33 33 4 4 4 33 3 33 4 33 195 3 3 3 192 45 3 163 3 45 45 45 45 45 45 45 45 45 192 45 45 45 3 6 91 3 6 91 4 4 3 4 4 4 4 4 3 4 3 3 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 91 6 91 6 91 5 45 221 197 192 140 4 4 192 91 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 45 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 4 6 91 10 10 91 4 6 91 4,normal
UTD-0368.txt,168 240 3 240 168 42 221 221 221 221 221 221 221 221 168 240 3 240 102 168 102 168 102 6 6 168 4 240 240 240 6 6 240 168 102 168 102 168 102 168 168 42 221 221 221 221 221 221 221 221 311 168 168 42 221 221 221 221 221 221 221 221 168 240 3 240 240 240 102 168 102 168 102 6 6 168 45 45 4 240 6 6 240 168 102 168 102 168 102 168 168 102 168 168 102 168 4 240 168 42 221 221 221 221 221 221 221 221 4 168 6 6 168 102 168 102 6 6 168 4 240 6 6 6 42 221 221 221 221 221 221 221 221 4 168 6 6 3 168,normal
UTD-0653.txt,6 11 201 45 3 174 45 45 45 45 45 3 45 45 3 45 45 45 45 45 45 64 78 65 45 175 5 3 175 175 175 175 175 42 120 3 7 7 175 175 45 45 45 45 175 175 175 175 45 45 175 45 175 175 175 45 45 175 45 45 45 3 175 175 45 45 175 120 175 175 175 175 175 307 175 175 175 175 175 175 175 175 5 175 175 175 5 4 4 6 175 120 7 7 175 195 199 120 7,normal
UAD-Java-Meterpreter-5-20164.txt,5 196 192 192 5 5 33 5 242 91 78 78 78 192 120 120 3 78 78 78 78 78 3 78 78 78 78 78 78 78 78 78 78 78 78 125 125 78 3 78 78 78 78 140 78 78 140 78 78 3 78 78 78 78 78 78 78 78 78 78 3 78 78 240 125 240 78 78 5 125 78 78 78 78 78 78 78 78 78 78 78 140 78 3 78 78 78 78 78 78 140 78 78 78 140 78 78 78 78 140 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 3 195 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 78 195 6 220 78 78 195 78 78 78 3 78 78 78 140 78 3 78 195 78 78 196 78 240 125 78 78 78 78 192 78 78 140 78 78 78 78 78 3 195 140 140 78 78 78 78 78 78 3 140 78 78 78 78 78 78 78 78 195 3 195 195 196 78 195 195 78 78 78 78 78 78 78 3 78 78 78 78 3 78 78 78 78 78 78 140 140 78 78 3 78 140 78 5 3 78 78 78 140 140 78 78 78 3 78 78 78 78 3 78 78 78 78 78 3 78 78 78 78 78 3 196 78 78 78 78 78 3 3 78 5 78 78 78 78 78 78 78 78 78 78 140 125 78 78 78 78 140 78 125 78 78 78 78 3 78 78 3 78 6 195 78 78 78 78 78 78 78 140 240 175 78 78 240,abnormal
